1986967.0,"Style Crest, Inc."
1486.0,Merck
531693.0,American Tire Distributors
1678.0,Banana Republic
96477027.0,PAM Health Rehabilitation Hospital of Miamisburg
21337.0,NYC Health + Hospitals
10516296.0,Flocksy
33210974.0,Recovery Alliance Initiative 
1841.0,Medtronic
1805509.0,Summit Materials
13334.0,"McLane Company, Inc."
307886.0,Canadian Solar Inc.
750072.0,E-Solutions
18424190.0,One Step GPS
3221675.0,Acima
23383.0,Langan Engineering & Environmental Services
35504.0,VCA Animal Hospitals
40693052.0,FirstChoice Hiring
18691.0,Legacy Health
259589.0,"IDR, Inc."
7413.0,Boston Medical Center (BMC)
12686.0,CompHealth
102847.0,Infobahn Softworld Inc
420856.0,KIPP SoCal Public Schools
75652254.0,Qualibar
134081.0,Price Chopper Supermarkets-Market 32
5756.0,Penske Truck Leasing
166751.0,Valley Medical Center
28978143.0,Beth Israel Lahey Health
49648345.0,Adecco Permanent Recruitment
5749.0,Kohl's
3135.0,Hyatt Regency
10769.0,CHRISTUS Health
35647080.0,Staples Stores
2278924.0,Lorimar Winery
4501.0,USAA
88405569.0,BizCoder AI
3175.0,Ingersoll Rand
163139.0,Cogent Communications
1248.0,Unilever
3638332.0,Alchemy Software Solutions
77768564.0,"LuxWall, Inc."
1728091.0,Phaidon International
3081.0,Thermo Fisher Scientific
508963.0,Veolia North America
28923.0,Harbor Freight Tools
46018.0,"C² Technologies, Inc."
14822.0,Scripps Health
2107.0,Toyota North America
18151.0,Altium Packaging
14822.0,Scripps Health
76788.0,QSC
813166.0,Blossom Tech Solutions
6636.0,Pro Staff
9124.0,"Universal Technical Institute, Inc."
10021.0,AMN Healthcare
1104359.0,Adecco
3657.0,Penn State University
98396367.0,Own Company
3841186.0,CCMC
53345529.0,Liberty Healthcare and Rehabilitation Services
2396310.0,Randstad USA
5274.0,Northeastern University
11713929.0,Oldcastle Infrastructure
5260693.0,Hunter Bond
2227.0,Novo Nordisk
3589.0,Walgreens
11054.0,Heartland
12861.0,Sargent & Lundy
1468.0,SLB
1681.0,Robert Half
7788794.0,Green Thumb Industries (GTI)
105843.0,Pape-Dawson Engineers
18851732.0,Metropolis Technologies
86639237.0,Kapital Bank Life
15656.0,AECOM
2371.0,Baxter International Inc.
73013724.0,J. Galt
9189272.0,Nexus Staff Inc.
13333.0,Ledgent
5071.0,Intelsat
2155566.0,LSI 
5095714.0,Sante Group Companies
63330.0,Hawthorne Executive Search
40659990.0,"NCA, Inc"
