921716,20.0,2.0
10998357,8.0,0.0
23221523,16.0,0.0
91700727,9.0,4.0
103254301,7.0,1.0
1218575,3.0,0.0
2264355,5.0,0.0
9615617,4.0,1.0
11009123,2.0,0.0
69333422,2.0,0.0
83789755,4.0,0.0
95428182,1.0,0.0
111513530,10.0,1.0
115639136,61.0,4.0
117675818,29.0,1.0
141969940,2.0,0.0
175485704,273.0,49.0
228003844,7.0,0.0
229924287,3.0,0.0
231010577,3.0,0.0
243731357,3.0,0.0
258868844,4.0,0.0
263583866,4.0,0.0
266566927,13.0,1.0
266825034,0.0,0.0
280496925,7.0,0.0
345332937,3.0,0.0
358267047,6.0,1.0
368586246,2.0,0.0
445337908,7.0,0.0
606178500,3.0,0.0
658723396,2.0,0.0
705356075,2.0,0.0
935210241,1.0,0.0
974774701,85.0,21.0
1014822088,7.0,2.0
1093227543,71.0,16.0
1129235875,3.0,0.0
1448163866,3.0,0.0
1586552873,2.0,0.0
1755471110,3.0,0.0
1826257634,60.0,7.0
1880409118,3.0,0.0
2011147642,6.0,0.0
2147609712,1.0,0.0
2147609754,2.0,0.0
2147609766,1.0,0.0
2147609774,2.0,0.0
2147609785,2.0,0.0
2147609789,2.0,0.0
2147609816,2.0,0.0
2147609835,2.0,0.0
2147609840,2.0,0.0
2147609858,2.0,0.0
2147609929,2.0,0.0
2157930553,3.0,0.0
2234533717,21.0,6.0
2269442456,0.0,0.0
2314566469,3.0,0.0
2372177891,2.0,0.0
2404832493,8.0,0.0
2428973832,2.0,0.0
2457183642,2.0,0.0
2558399667,0.0,0.0
2735151240,5.0,0.0
2747409392,7.0,0.0
2748500131,2.0,0.0
2790549389,43.0,5.0
2796728000,9.0,0.0
2826285517,1.0,0.0
2838336689,8062.0,43.0
2914254129,10.0,0.0
2920450495,4.0,0.0
2934066464,11.0,0.0
2954591060,23.0,4.0
2957460032,5.0,0.0
2974397965,3.0,0.0
2987175317,8.0,0.0
2989631782,1.0,0.0
3018278978,279.0,2.0
3040487795,7.0,3.0
3045980831,4.0,0.0
3075721793,0.0,0.0
3117273910,23.0,2.0
3127577086,3.0,0.0
3169712432,146.0,16.0
3177010992,6.0,0.0
3184403524,5.0,0.0
3189117072,6.0,0.0
3190494363,14.0,1.0
3196627399,2.0,0.0
3211657373,25.0,2.0
3245063922,7.0,1.0
3251984218,89.0,8.0
3260455681,18.0,2.0
3270034794,2.0,0.0
3273249702,1.0,0.0
3277232283,59.0,18.0
3297645846,6.0,0.0
3299509053,13.0,0.0
3308438674,3.0,0.0
3322949022,4.0,0.0
3363439517,9.0,0.0
3364366864,4.0,0.0
3366698309,2.0,0.0
3377655935,22.0,3.0
3379554375,5.0,0.0
3383214611,7.0,1.0
3407282046,60.0,28.0
3422171886,1.0,0.0
3426467577,2.0,0.0
3431736996,5.0,0.0
3438939828,1.0,0.0
3438976411,22.0,0.0
3447180215,14.0,0.0
3458210342,7.0,0.0
3466187886,3.0,0.0
3475821770,17.0,2.0
3475933396,0.0,0.0
3478606637,2.0,0.0
